                     Id  MSSubClass  LotFrontage   LotArea  OverallQual  ...  PoolArea   MiscVal    MoSold    YrSold  SalePrice
Id             1.000000    0.011156    -0.010601 -0.033226    -0.028365  ...  0.057044 -0.006242  0.021172  0.000712  -0.021917
MSSubClass     0.011156    1.000000    -0.386347 -0.139781     0.032628  ...  0.008283 -0.007683 -0.013585 -0.021407  -0.084284
LotFrontage   -0.010601   -0.386347     1.000000  0.426095     0.251646  ...  0.206167  0.003368  0.011200  0.007450   0.351799
LotArea       -0.033226   -0.139781     0.426095  1.000000     0.105806  ...  0.077672  0.038068  0.001205 -0.014261   0.263843
OverallQual   -0.028365    0.032628     0.251646  0.105806     1.000000  ...  0.065166 -0.031406  0.070815 -0.027347   0.790982
OverallCond    0.012609   -0.059316    -0.059213 -0.005636    -0.091932  ... -0.001985  0.068777 -0.003511  0.043950  -0.077856
YearBuilt     -0.012713    0.027850     0.123349  0.014228     0.572323  ...  0.004950 -0.034383  0.012398 -0.013618   0.522897
YearRemodAdd  -0.021998    0.040581     0.088866  0.013788     0.550684  ...  0.005829 -0.010286  0.021490  0.035743   0.507101
MasVnrArea    -0.050298    0.022936     0.193458  0.104160     0.411876  ...  0.011723 -0.029815 -0.005965 -0.008201   0.477493
BsmtFinSF1    -0.005024   -0.069836     0.233633  0.214103     0.239666  ...  0.140491  0.003571 -0.015727  0.014359   0.386420
BsmtFinSF2    -0.005968   -0.065649     0.049900  0.111170    -0.059119  ...  0.041709  0.004940 -0.015211  0.031706  -0.011378
BsmtUnfSF     -0.007940   -0.140759     0.132644 -0.002618     0.308159  ... -0.035092 -0.023837  0.034888 -0.041258   0.214479
TotalBsmtSF   -0.015415   -0.238518     0.392075  0.260833     0.537808  ...  0.126053 -0.018479  0.013196 -0.014969   0.613581
1stFlrSF       0.010496   -0.251758     0.457181  0.299475     0.476224  ...  0.131525 -0.021096  0.031372 -0.013604   0.605852
2ndFlrSF       0.005590    0.307886     0.080177  0.050986     0.295493  ...  0.081487  0.016197  0.035164 -0.028700   0.319334
LowQualFinSF  -0.044230    0.046474     0.038469  0.004779    -0.030429  ...  0.062157 -0.003793 -0.022174 -0.028921  -0.025606
GrLivArea      0.008273    0.074853     0.402797  0.263116     0.593007  ...  0.170205 -0.002416  0.050240 -0.036526   0.708624
BsmtFullBath   0.002289    0.003491     0.100949  0.158155     0.111098  ...  0.067616 -0.023047 -0.025361  0.067049   0.227122
BsmtHalfBath  -0.020155   -0.002333    -0.007234  0.048046    -0.040150  ...  0.020025 -0.007367  0.032873 -0.046524  -0.016844
FullBath       0.005587    0.131608     0.198769  0.126031     0.550600  ...  0.049604 -0.014290  0.055872 -0.019669   0.560664
HalfBath       0.006784    0.177354     0.053532  0.014259     0.273458  ...  0.022381  0.001290 -0.009050 -0.010269   0.284108
BedroomAbvGr   0.037719   -0.023438     0.263170  0.119690     0.101676  ...  0.070703  0.007767  0.046544 -0.036014   0.168213
KitchenAbvGr   0.002951    0.281721    -0.006069 -0.017784    -0.183882  ... -0.014525  0.062341  0.026589  0.031687  -0.135907
TotRmsAbvGrd   0.027239    0.040380     0.352096  0.190015     0.427452  ...  0.083757  0.024763  0.036907 -0.034516   0.533723
Fireplaces    -0.019772   -0.045569     0.266639  0.271364     0.396765  ...  0.095074  0.001409  0.046357 -0.024096   0.466929
GarageYrBlt    0.000072    0.085072     0.070250 -0.024947     0.547766  ... -0.014501 -0.032417  0.005337 -0.001014   0.486362
GarageCars     0.016570   -0.040110     0.285691  0.154871     0.600671  ...  0.020934 -0.043080  0.040522 -0.039117   0.640409
GarageArea     0.017634   -0.098672     0.344997  0.180403     0.562022  ...  0.061047 -0.027400  0.027974 -0.027378   0.623431
WoodDeckSF    -0.029643   -0.012579     0.088521  0.171698     0.238923  ...  0.073378 -0.009551  0.021011  0.022270   0.324413
OpenPorchSF   -0.000477   -0.006100     0.151972  0.084774     0.308819  ...  0.060762 -0.018584  0.071255 -0.057619   0.315856
EnclosedPorch  0.002889   -0.012037     0.010700 -0.018340    -0.113937  ...  0.054203  0.018361 -0.028887 -0.009916  -0.128578
3SsnPorch     -0.046635   -0.043825     0.070029  0.020423     0.030371  ... -0.007992  0.000354  0.029474  0.018645   0.044584
ScreenPorch    0.001330   -0.026030     0.041383  0.043160     0.064886  ...  0.051307  0.031946  0.023217  0.010694   0.111447
PoolArea       0.057044    0.008283     0.206167  0.077672     0.065166  ...  1.000000  0.029669 -0.033737 -0.059689   0.092404
MiscVal       -0.006242   -0.007683     0.003368  0.038068    -0.031406  ...  0.029669  1.000000 -0.006495  0.004906  -0.021190
MoSold         0.021172   -0.013585     0.011200  0.001205     0.070815  ... -0.033737 -0.006495  1.000000 -0.145721   0.046432
YrSold         0.000712   -0.021407     0.007450 -0.014261    -0.027347  ... -0.059689  0.004906 -0.145721  1.000000  -0.028923
SalePrice     -0.021917   -0.084284     0.351799  0.263843     0.790982  ...  0.092404 -0.021190  0.046432 -0.028923   1.000000

[38 rows x 38 columns]
